Date add,Word,Translation,Date of the last training,Training status,Number of training
2022-08-08,absolutely,абсолютно,,T,0
2022-08-08,academic,академический,,T,0
2022-08-08,access,доступ,,T,0
2022-08-08,accommodation,жилье,,T,0
2022-08-08,account,учётная запись,,T,0
2022-08-08,achievement,достижение,,T,0
2022-08-08,act,действие,,T,0
2022-08-08,ad,реклама,,T,0
2022-08-08,addition,дополнение,,T,0
2022-08-08,admire,восхищаться,,T,0
2022-08-08,admit,признавать,,T,0
2022-08-08,advanced,передовой,,T,0
2022-08-08,advise,советовать,,T,0
2022-08-08,afford,позволить себе,,T,0
2022-08-08,aged,престарелый,,T,0
2022-08-08,agent,агент,,T,0
2022-08-08,agreement,соглашение,,T,0
2022-08-08,ahead,впереди,,T,0
2022-08-08,aim,цель,,T,0
2022-08-08,alarm,тревога,,T,0
2022-08-08,album,альбом,,T,0
2022-08-08,alcohol,алкоголь,,T,0
2022-08-08,alcoholic,алкоголик,,T,0
2022-08-08,alternative,альтернатива,,T,0
2022-08-08,ambition,амбиция,,T,0
2022-08-08,ambitious,амбициозный,,T,0
2022-08-08,analyse,анализировать,,T,0
2022-08-08,analysis,анализ,,T,0
2022-08-08,announce,анонсировать,,T,0
2022-08-08,announcement,объявление,,T,0
2022-08-08,annoy,раздражать,,T,0
2022-08-08,annoyed,раздраженный,,T,0
2022-08-08,annoying,надоедливый,,T,0
2022-08-08,apart,отдельно,,T,0
2022-08-08,apologize,принести извинения,,T,0
2022-08-08,appointment,деловая встреча,,T,0
2022-08-08,appreciate,ценить,,T,0
2022-08-08,approximately,примерно,,T,0
2022-08-08,arrest,арестовать,,T,0
2022-08-08,arrival,прибытие,,T,0
2022-08-08,assignment,назначение,,T,0
2022-08-08,assist,содействовать,,T,0
2022-08-08,atmosphere,атмосфера,,T,0
2022-08-08,attach,прикреплять,,T,0
2022-08-08,attitude,отношение,,T,0
2022-08-08,attract,привлекать,,T,0
2022-08-08,attraction,привлекательность,,T,0
2022-08-08,authority,власть,,T,0
2022-08-08,average,средний,,T,0
2022-08-08,award,награда,,T,0
2022-08-08,aware,осведомленный,,T,0
2022-08-08,backwards,обратно,,T,0
2022-08-08,bake,печь,,T,0
2022-08-08,balance,балланс,,T,0
2022-08-08,ban,запрет,,T,0
2022-08-08,bank,берег,,T,0
2022-08-08,base,база,,T,0
2022-08-08,basis,основа,,T,0
2022-08-08,battery,аккумулятор,,T,0
2022-08-08,battle,бой,,T,0
2022-08-08,beauty,красота,,T,0
2022-08-08,bee,пчела,,T,0
2022-08-08,belief,вера,,T,0
2022-08-08,bell,колокол,,T,0
2022-08-08,bend,согнуть,,T,0
2022-08-08,benefit,выгода,,T,0
2022-08-08,bite,кусать,,T,0
2022-08-08,block,блокировать,,T,0
2022-08-08,board,доска,,T,0
2022-08-08,bomb,бомба,,T,0
2022-08-08,border,граница,,T,0
2022-08-08,bother,беспокоить,,T,0
2022-08-08,branch,ветка,,T,0
2022-08-08,brand,бренд,,T,0
2022-08-08,brave,храбрый,,T,0
2022-08-08,breath,дыхание,,T,0
2022-08-08,breathe,дышать,,T,0
2022-08-08,breathing,дыхание,,T,0
2022-08-08,bride,невеста,,T,0
2022-08-08,bubble,пузырь,,T,0
2022-08-08,bury,закапывать,,T,0
2022-08-08,calm,спокойный,,T,0
2022-08-08,campaign,кампания,,T,0
2022-08-08,campus,кампус,,T,0
2022-08-08,candidate,кандидат,,T,0
2022-08-08,cap,крышка,,T,0
2022-08-08,captain,капитан,,T,0
